"","ref_date","geo","products_and_product_groups","value","value_fd","value_pc"
"1","2010","Alberta","All-items",122.7,1.2,0.988
"2","2010","Alberta","Food",121.8,1.3,1.079
"3","2010","Alberta","Shelter",147.6,0.2,0.136
"4","2010","British Columbia","All-items",113.8,1.5,1.336
"5","2010","British Columbia","Food",119.6,1.9,1.614
"6","2010","British Columbia","Shelter",113.1,0.8,0.712
"7","2010","Calgary, Alberta","All-items",122.7,1,0.822
"8","2010","Calgary, Alberta","Shelter",145.8,-0.1,-0.069
"9","2010","Canada","All-items",116.5,2.1,1.836
"10","2010","Canada","Food",123.1,1.7,1.4
"11","2010","Canada","Shelter",123.3,1.7,1.398
"12","2010","Charlottetown and Summerside, Prince Edward Island","All-items",119.2,2.1,1.793
"13","2010","Charlottetown and Summerside, Prince Edward Island","Shelter",123.3,1.8,1.481
"14","2010","Edmonton, Alberta","All-items",122.9,1.3,1.069
"15","2010","Edmonton, Alberta","Shelter",148.3,0.5,0.338
"16","2010","Halifax, Nova Scotia","All-items",117.6,2.3,1.995
"17","2010","Halifax, Nova Scotia","Shelter",122.7,1,0.822
"18","2010","Iqaluit, Nunavut","All-items",111.8,-0.8,-0.71
"19","2010","Manitoba","All-items",115,0.9,0.789
"20","2010","Manitoba","Food",122.5,0.1,0.082
"21","2010","Manitoba","Shelter",121.9,-0.3,-0.245
"22","2010","Montréal, Quebec","All-items",114.8,1.3,1.145
"23","2010","Montréal, Quebec","Shelter",120.3,0.8,0.669
"24","2010","New Brunswick","All-items",115.9,2.4,2.115
"25","2010","New Brunswick","Food",126.9,2.3,1.846
"26","2010","New Brunswick","Shelter",122.6,1.9,1.574
"27","2010","Newfoundland and Labrador","All-items",117.4,2.8,2.443
"28","2010","Newfoundland and Labrador","Food",123.6,2.4,1.98
"29","2010","Newfoundland and Labrador","Shelter",132.2,4,3.12
"30","2010","Nova Scotia","All-items",118.2,2.5,2.161
"31","2010","Nova Scotia","Food",128.2,2.4,1.908
"32","2010","Nova Scotia","Shelter",125.5,1.5,1.21
"33","2010","Ontario","All-items",116.5,2.8,2.463
"34","2010","Ontario","Food",123.2,1.8,1.483
"35","2010","Ontario","Shelter",121.3,2.7,2.277
"36","2010","Ottawa-Gatineau, Ontario part, Ontario/Quebec","All-items",116.6,2.9,2.551
"37","2010","Ottawa-Gatineau, Ontario part, Ontario/Quebec","Shelter",124,3.1,2.564
"38","2010","Prince Edward Island","All-items",119.5,2.2,1.876
"39","2010","Prince Edward Island","Food",126.4,1.8,1.445
"40","2010","Prince Edward Island","Shelter",125.9,2.1,1.696
"41","2010","Quebec","All-items",114.8,1.4,1.235
"42","2010","Quebec","Food",124.8,1.7,1.381
"43","2010","Quebec","Shelter",121,0.9,0.749
"44","2010","Québec, Quebec","All-items",114.8,1.6,1.413
"45","2010","Québec, Quebec","Shelter",121.3,1.4,1.168
"46","2010","Regina, Saskatchewan","All-items",118.9,1.7,1.451
"47","2010","Regina, Saskatchewan","Shelter",140.1,1.9,1.375
"48","2010","Saint John, New Brunswick","All-items",116.3,2.6,2.287
"49","2010","Saint John, New Brunswick","Shelter",124.9,2.6,2.126
"50","2010","Saskatchewan","All-items",118.7,1.6,1.366
"51","2010","Saskatchewan","Food",123.1,0.9,0.736
"52","2010","Saskatchewan","Shelter",140.4,1.1,0.79
"53","2010","Saskatoon, Saskatchewan","All-items",119.6,1.4,1.184
"54","2010","Saskatoon, Saskatchewan","Shelter",142,0.8,0.567
"55","2010","St. John's, Newfoundland and Labrador","All-items",117.4,2.7,2.354
"56","2010","St. John's, Newfoundland and Labrador","Shelter",130.3,3.6,2.841
"57","2010","Thunder Bay, Ontario","All-items",112.8,2.3,2.081
"58","2010","Thunder Bay, Ontario","Shelter",106.2,1,0.951
"59","2010","Toronto, Ontario","All-items",116.5,2.9,2.553
"60","2010","Toronto, Ontario","Shelter",120.3,2.8,2.383
"61","2010","Vancouver, British Columbia","All-items",114.9,2,1.771
"62","2010","Vancouver, British Columbia","Shelter",115.7,2,1.759
"63","2010","Victoria, British Columbia","All-items",113.1,1.2,1.072
"64","2010","Victoria, British Columbia","Shelter",110.9,-0.3,-0.27
"65","2010","Whitehorse, Yukon","All-items",114.7,0.9,0.791
"66","2010","Whitehorse, Yukon","Food",117.2,0.6,0.515
"67","2010","Whitehorse, Yukon","Shelter",129,0.6,0.467
"68","2010","Winnipeg, Manitoba","All-items",114.8,0.9,0.79
"69","2010","Winnipeg, Manitoba","Shelter",121.1,-0.5,-0.411
"70","2010","Yellowknife, Northwest Territories","All-items",117.9,2,1.726
"71","2010","Yellowknife, Northwest Territories","Food",119.8,2.9,2.481
"72","2010","Yellowknife, Northwest Territories","Shelter",135.1,2.3,1.732
"73","2011","Alberta","All-items",125.7,3,2.445
"74","2011","Alberta","Food",125.6,3.8,3.12
"75","2011","Alberta","Shelter",152.1,4.5,3.049
"76","2011","British Columbia","All-items",116.5,2.7,2.373
"77","2011","British Columbia","Food",124.6,5,4.181
"78","2011","British Columbia","Shelter",114.3,1.2,1.061
"79","2011","Calgary, Alberta","All-items",125.4,2.7,2.2
"80","2011","Calgary, Alberta","Shelter",149.2,3.4,2.332
"81","2011","Canada","All-items",119.9,3.4,2.918
"82","2011","Canada","Food",127.7,4.6,3.737
"83","2011","Canada","Shelter",125.6,2.3,1.865
"84","2011","Charlottetown and Summerside, Prince Edward Island","All-items",122.4,3.2,2.685
"85","2011","Charlottetown and Summerside, Prince Edward Island","Shelter",126,2.7,2.19
"86","2011","Edmonton, Alberta","All-items",126,3.1,2.522
"87","2011","Edmonton, Alberta","Shelter",153.3,5,3.372
"88","2011","Halifax, Nova Scotia","All-items",121.7,4.1,3.486
"89","2011","Halifax, Nova Scotia","Shelter",127,4.3,3.504
"90","2011","Iqaluit, Nunavut","All-items",113.4,1.6,1.431
"91","2011","Manitoba","All-items",118.4,3.4,2.957
"92","2011","Manitoba","Food",127,4.5,3.673
"93","2011","Manitoba","Shelter",125.1,3.2,2.625
"94","2011","Montréal, Quebec","All-items",118,3.2,2.787
"95","2011","Montréal, Quebec","Shelter",122.3,2,1.663
"96","2011","New Brunswick","All-items",120,4.1,3.538
"97","2011","New Brunswick","Food",132.8,5.9,4.649
"98","2011","New Brunswick","Shelter",125,2.4,1.958
"99","2011","Newfoundland and Labrador","All-items",121.4,4,3.407
"100","2011","Newfoundland and Labrador","Food",128.1,4.5,3.641
"101","2011","Newfoundland and Labrador","Shelter",139.9,7.7,5.825
"102","2011","Nova Scotia","All-items",122.7,4.5,3.807
"103","2011","Nova Scotia","Food",134.1,5.9,4.602
"104","2011","Nova Scotia","Shelter",131.2,5.7,4.542
"105","2011","Ontario","All-items",120.1,3.6,3.09
"106","2011","Ontario","Food",128.1,4.9,3.977
"107","2011","Ontario","Shelter",123.1,1.8,1.484
"108","2011","Ottawa-Gatineau, Ontario part, Ontario/Quebec","All-items",120.1,3.5,3.002
"109","2011","Ottawa-Gatineau, Ontario part, Ontario/Quebec","Shelter",125.8,1.8,1.452
"110","2011","Prince Edward Island","All-items",123,3.5,2.929
"111","2011","Prince Edward Island","Food",132,5.6,4.43
"112","2011","Prince Edward Island","Shelter",128.9,3,2.383
"113","2011","Quebec","All-items",118.3,3.5,3.049
"114","2011","Quebec","Food",129.2,4.4,3.526
"115","2011","Quebec","Shelter",123.1,2.1,1.736
"116","2011","Québec, Quebec","All-items",118.2,3.4,2.962
"117","2011","Québec, Quebec","Shelter",123,1.7,1.401
"118","2011","Regina, Saskatchewan","All-items",122.4,3.5,2.944
"119","2011","Regina, Saskatchewan","Shelter",144.3,4.2,2.998
"120","2011","Saint John, New Brunswick","All-items",120.2,3.9,3.353
"121","2011","Saint John, New Brunswick","Shelter",127.6,2.7,2.162
"122","2011","Saskatchewan","All-items",122,3.3,2.78
"123","2011","Saskatchewan","Food",128.2,5.1,4.143
"124","2011","Saskatchewan","Shelter",143.9,3.5,2.493
"125","2011","Saskatoon, Saskatchewan","All-items",122.6,3,2.508
"126","2011","Saskatoon, Saskatchewan","Shelter",144.5,2.5,1.761
"127","2011","St. John's, Newfoundland and Labrador","All-items",121.3,3.9,3.322
"128","2011","St. John's, Newfoundland and Labrador","Shelter",137.4,7.1,5.449
"129","2011","Thunder Bay, Ontario","All-items",116.3,3.5,3.103
"130","2011","Thunder Bay, Ontario","Shelter",108.2,2,1.883
"131","2011","Toronto, Ontario","All-items",120,3.5,3.004
"132","2011","Toronto, Ontario","Shelter",122.2,1.9,1.579
"133","2011","Vancouver, British Columbia","All-items",117.5,2.6,2.263
"134","2011","Vancouver, British Columbia","Shelter",117.1,1.4,1.21
"135","2011","Victoria, British Columbia","All-items",115.5,2.4,2.122
"136","2011","Victoria, British Columbia","Shelter",111.9,1,0.902
"137","2011","Whitehorse, Yukon","All-items",118.1,3.4,2.964
"138","2011","Whitehorse, Yukon","Food",120.2,3,2.56
"139","2011","Whitehorse, Yukon","Shelter",134.8,5.8,4.496
"140","2011","Winnipeg, Manitoba","All-items",118.1,3.3,2.875
"141","2011","Winnipeg, Manitoba","Shelter",124,2.9,2.395
"142","2011","Yellowknife, Northwest Territories","All-items",121.6,3.7,3.138
"143","2011","Yellowknife, Northwest Territories","Food",122.9,3.1,2.588
"144","2011","Yellowknife, Northwest Territories","Shelter",140.5,5.4,3.997
"145","2012","Alberta","All-items",127.1,1.4,1.114
"146","2012","Alberta","Food",128.1,2.5,1.99
"147","2012","Alberta","Shelter",152.5,0.4,0.263
"148","2012","British Columbia","All-items",117.8,1.3,1.116
"149","2012","British Columbia","Food",127.3,2.7,2.167
"150","2012","British Columbia","Shelter",114.2,-0.1,-0.087
"151","2012","Calgary, Alberta","All-items",126.7,1.3,1.037
"152","2012","Calgary, Alberta","Shelter",149.3,0.1,0.067
"153","2012","Canada","All-items",121.7,1.8,1.501
"154","2012","Canada","Food",130.8,3.1,2.428
"155","2012","Canada","Shelter",127.1,1.5,1.194
"156","2012","Charlottetown and Summerside, Prince Edward Island","All-items",124.7,2.3,1.879
"157","2012","Charlottetown and Summerside, Prince Edward Island","Shelter",126.9,0.9,0.714
"158","2012","Edmonton, Alberta","All-items",127.4,1.4,1.111
"159","2012","Edmonton, Alberta","Shelter",154.2,0.9,0.587
"160","2012","Halifax, Nova Scotia","All-items",123.8,2.1,1.726
"161","2012","Halifax, Nova Scotia","Shelter",130,3,2.362
"162","2012","Iqaluit, Nunavut","All-items",115.3,1.9,1.675
"163","2012","Manitoba","All-items",120.3,1.9,1.605
"164","2012","Manitoba","Food",129.8,2.8,2.205
"165","2012","Manitoba","Shelter",127.5,2.4,1.918
"166","2012","Montréal, Quebec","All-items",120.4,2.4,2.034
"167","2012","Montréal, Quebec","Shelter",124,1.7,1.39
"168","2012","New Brunswick","All-items",122,2,1.667
"169","2012","New Brunswick","Food",137.3,4.5,3.389
"170","2012","New Brunswick","Shelter",125.8,0.8,0.64
"171","2012","Newfoundland and Labrador","All-items",123.9,2.5,2.059
"172","2012","Newfoundland and Labrador","Food",132.6,4.5,3.513
"173","2012","Newfoundland and Labrador","Shelter",144.8,4.9,3.503
"174","2012","Nova Scotia","All-items",125.1,2.4,1.956
"175","2012","Nova Scotia","Food",137.8,3.7,2.759
"176","2012","Nova Scotia","Shelter",135.2,4,3.049
"177","2012","Ontario","All-items",121.8,1.7,1.415
"178","2012","Ontario","Food",131,2.9,2.264
"179","2012","Ontario","Shelter",125,1.9,1.543
"180","2012","Ottawa-Gatineau, Ontario part, Ontario/Quebec","All-items",121.7,1.6,1.332
"181","2012","Ottawa-Gatineau, Ontario part, Ontario/Quebec","Shelter",127.6,1.8,1.431
"182","2012","Prince Edward Island","All-items",125.5,2.5,2.033
"183","2012","Prince Edward Island","Food",137.4,5.4,4.091
"184","2012","Prince Edward Island","Shelter",129.9,1,0.776
"185","2012","Quebec","All-items",120.8,2.5,2.113
"186","2012","Quebec","Food",132.4,3.2,2.477
"187","2012","Quebec","Shelter",125.1,2,1.625
"188","2012","Québec, Quebec","All-items",120.8,2.6,2.2
"189","2012","Québec, Quebec","Shelter",125.5,2.5,2.033
"190","2012","Regina, Saskatchewan","All-items",124.6,2.2,1.797
"191","2012","Regina, Saskatchewan","Shelter",148,3.7,2.564
"192","2012","Saint John, New Brunswick","All-items",122.1,1.9,1.581
"193","2012","Saint John, New Brunswick","Shelter",128.4,0.8,0.627
"194","2012","Saskatchewan","All-items",123.9,1.9,1.557
"195","2012","Saskatchewan","Food",131.2,3,2.34
"196","2012","Saskatchewan","Shelter",146.7,2.8,1.946
"197","2012","Saskatoon, Saskatchewan","All-items",124.4,1.8,1.468
"198","2012","Saskatoon, Saskatchewan","Shelter",146.6,2.1,1.453
"199","2012","St. John's, Newfoundland and Labrador","All-items",123.8,2.5,2.061
"200","2012","St. John's, Newfoundland and Labrador","Shelter",141.8,4.4,3.202
"201","2012","Thunder Bay, Ontario","All-items",117.4,1.1,0.946
"202","2012","Thunder Bay, Ontario","Shelter",108.2,0,0
"203","2012","Toronto, Ontario","All-items",121.8,1.8,1.5
"204","2012","Toronto, Ontario","Shelter",124.6,2.4,1.964
"205","2012","Vancouver, British Columbia","All-items",119,1.5,1.277
"206","2012","Vancouver, British Columbia","Shelter",117.5,0.4,0.342
"207","2012","Victoria, British Columbia","All-items",116.7,1.2,1.039
"208","2012","Victoria, British Columbia","Shelter",111,-0.9,-0.804
"209","2012","Whitehorse, Yukon","All-items",120.8,2.7,2.286
"210","2012","Whitehorse, Yukon","Food",123.3,3.1,2.579
"211","2012","Whitehorse, Yukon","Shelter",139.3,4.5,3.338
"212","2012","Winnipeg, Manitoba","All-items",119.9,1.8,1.524
"213","2012","Winnipeg, Manitoba","Shelter",126.2,2.2,1.774
"214","2012","Yellowknife, Northwest Territories","All-items",124.3,2.7,2.22
"215","2012","Yellowknife, Northwest Territories","Food",124.4,1.5,1.221
"216","2012","Yellowknife, Northwest Territories","Shelter",144.5,4,2.847
"217","2013","Alberta","All-items",128.9,1.8,1.416
"218","2013","Alberta","Food",130.8,2.7,2.108
"219","2013","Alberta","Shelter",156.3,3.8,2.492
"220","2013","British Columbia","All-items",117.7,-0.1,-0.085
"221","2013","British Columbia","Food",127.4,0.1,0.079
"222","2013","British Columbia","Shelter",113.3,-0.9,-0.788
"223","2013","Calgary, Alberta","All-items",128.8,2.1,1.657
"224","2013","Calgary, Alberta","Shelter",154.2,4.9,3.282
"225","2013","Canada","All-items",122.8,1.1,0.904
"226","2013","Canada","Food",132.4,1.6,1.223
"227","2013","Canada","Shelter",128.7,1.6,1.259
"228","2013","Charlottetown and Summerside, Prince Edward Island","All-items",127.2,2.5,2.005
"229","2013","Charlottetown and Summerside, Prince Edward Island","Shelter",129.7,2.8,2.206
"230","2013","Edmonton, Alberta","All-items",129,1.6,1.256
"231","2013","Edmonton, Alberta","Shelter",156.7,2.5,1.621
"232","2013","Halifax, Nova Scotia","All-items",125.2,1.4,1.131
"233","2013","Halifax, Nova Scotia","Shelter",132.6,2.6,2
"234","2013","Iqaluit, Nunavut","All-items",116.6,1.3,1.127
"235","2013","Manitoba","All-items",123,2.7,2.244
"236","2013","Manitoba","Food",133.1,3.3,2.542
"237","2013","Manitoba","Shelter",131.5,4,3.137
"238","2013","Montréal, Quebec","All-items",121.4,1,0.831
"239","2013","Montréal, Quebec","Shelter",125.2,1.2,0.968
"240","2013","New Brunswick","All-items",123,1,0.82
"241","2013","New Brunswick","Food",138.5,1.2,0.874
"242","2013","New Brunswick","Shelter",126.8,1,0.795
"243","2013","Newfoundland and Labrador","All-items",126,2.1,1.695
"244","2013","Newfoundland and Labrador","Food",134.5,1.9,1.433
"245","2013","Newfoundland and Labrador","Shelter",147.7,2.9,2.003
"246","2013","Nova Scotia","All-items",126.6,1.5,1.199
"247","2013","Nova Scotia","Food",139.6,1.8,1.306
"248","2013","Nova Scotia","Shelter",138.1,2.9,2.145
"249","2013","Ontario","All-items",123,1.2,0.985
"250","2013","Ontario","Food",132.9,1.9,1.45
"251","2013","Ontario","Shelter",126.9,1.9,1.52
"252","2013","Ottawa-Gatineau, Ontario part, Ontario/Quebec","All-items",122.9,1.2,0.986
"253","2013","Ottawa-Gatineau, Ontario part, Ontario/Quebec","Shelter",129.1,1.5,1.176
"254","2013","Prince Edward Island","All-items",128,2.5,1.992
"255","2013","Prince Edward Island","Food",138.8,1.4,1.019
"256","2013","Prince Edward Island","Shelter",133,3.1,2.386
"257","2013","Quebec","All-items",121.7,0.9,0.745
"258","2013","Quebec","Food",133.8,1.4,1.057
"259","2013","Quebec","Shelter",126.3,1.2,0.959
"260","2013","Québec, Quebec","All-items",121.9,1.1,0.911
"261","2013","Québec, Quebec","Shelter",126.8,1.3,1.036
"262","2013","Regina, Saskatchewan","All-items",126.7,2.1,1.685
"263","2013","Regina, Saskatchewan","Shelter",151.9,3.9,2.635
"264","2013","Saint John, New Brunswick","All-items",122.9,0.8,0.655
"265","2013","Saint John, New Brunswick","Shelter",129.3,0.9,0.701
"266","2013","Saskatchewan","All-items",125.7,1.8,1.453
"267","2013","Saskatchewan","Food",134,2.8,2.134
"268","2013","Saskatchewan","Shelter",149.4,2.7,1.84
"269","2013","Saskatoon, Saskatchewan","All-items",125.7,1.3,1.045
"270","2013","Saskatoon, Saskatchewan","Shelter",147.8,1.2,0.819
"271","2013","St. John's, Newfoundland and Labrador","All-items",125.8,2,1.616
"272","2013","St. John's, Newfoundland and Labrador","Shelter",144.4,2.6,1.834
"273","2013","Thunder Bay, Ontario","All-items",118.4,1,0.852
"274","2013","Thunder Bay, Ontario","Shelter",110.3,2.1,1.941
"275","2013","Toronto, Ontario","All-items",123.3,1.5,1.232
"276","2013","Toronto, Ontario","Shelter",126.7,2.1,1.685
"277","2013","Vancouver, British Columbia","All-items",119.2,0.2,0.168
"278","2013","Vancouver, British Columbia","Shelter",116.9,-0.6,-0.511
"279","2013","Victoria, British Columbia","All-items",116.3,-0.4,-0.343
"280","2013","Victoria, British Columbia","Shelter",109.9,-1.1,-0.991
"281","2013","Whitehorse, Yukon","All-items",122.8,2,1.656
"282","2013","Whitehorse, Yukon","Food",125.4,2.1,1.703
"283","2013","Whitehorse, Yukon","Shelter",143.5,4.2,3.015
"284","2013","Winnipeg, Manitoba","All-items",122.6,2.7,2.252
"285","2013","Winnipeg, Manitoba","Shelter",130.1,3.9,3.09
"286","2013","Yellowknife, Northwest Territories","All-items",126.2,1.9,1.529
"287","2013","Yellowknife, Northwest Territories","Food",128.1,3.7,2.974
"288","2013","Yellowknife, Northwest Territories","Shelter",146.8,2.3,1.592
"289","2014","Alberta","All-items",132.2,3.3,2.56
"290","2014","Alberta","Food",134.6,3.8,2.905
"291","2014","Alberta","Shelter",162.5,6.2,3.967
"292","2014","British Columbia","All-items",118.9,1.2,1.02
"293","2014","British Columbia","Food",129.5,2.1,1.648
"294","2014","British Columbia","Shelter",114.2,0.9,0.794
"295","2014","Calgary, Alberta","All-items",132.7,3.9,3.028
"296","2014","Calgary, Alberta","Shelter",162.7,8.5,5.512
"297","2014","Canada","All-items",125.2,2.4,1.954
"298","2014","Canada","Food",135.5,3.1,2.341
"299","2014","Canada","Shelter",132.2,3.5,2.72
"300","2014","Charlottetown and Summerside, Prince Edward Island","All-items",129.3,2.1,1.651
"301","2014","Charlottetown and Summerside, Prince Edward Island","Shelter",131.6,1.9,1.465
"302","2014","Edmonton, Alberta","All-items",131.8,2.8,2.171
"303","2014","Edmonton, Alberta","Shelter",160.4,3.7,2.361
"304","2014","Halifax, Nova Scotia","All-items",127.5,2.3,1.837
"305","2014","Halifax, Nova Scotia","Shelter",135.3,2.7,2.036
"306","2014","Iqaluit, Nunavut","All-items",118.1,1.5,1.286
"307","2014","Manitoba","All-items",125.3,2.3,1.87
"308","2014","Manitoba","Food",136.7,3.6,2.705
"309","2014","Manitoba","Shelter",135.4,3.9,2.966
"310","2014","Montréal, Quebec","All-items",123.2,1.8,1.483
"311","2014","Montréal, Quebec","Shelter",126.9,1.7,1.358
"312","2014","New Brunswick","All-items",124.8,1.8,1.463
"313","2014","New Brunswick","Food",141.1,2.6,1.877
"314","2014","New Brunswick","Shelter",129.2,2.4,1.893
"315","2014","Newfoundland and Labrador","All-items",128.4,2.4,1.905
"316","2014","Newfoundland and Labrador","Food",137.7,3.2,2.379
"317","2014","Newfoundland and Labrador","Shelter",150,2.3,1.557
"318","2014","Nova Scotia","All-items",128.8,2.2,1.738
"319","2014","Nova Scotia","Food",141.5,1.9,1.361
"320","2014","Nova Scotia","Shelter",141.1,3,2.172
"321","2014","Ontario","All-items",125.9,2.9,2.358
"322","2014","Ontario","Food",136.2,3.3,2.483
"323","2014","Ontario","Shelter",131.5,4.6,3.625
"324","2014","Ottawa-Gatineau, Ontario part, Ontario/Quebec","All-items",125.3,2.4,1.953
"325","2014","Ottawa-Gatineau, Ontario part, Ontario/Quebec","Shelter",132.2,3.1,2.401
"326","2014","Prince Edward Island","All-items",130.1,2.1,1.641
"327","2014","Prince Edward Island","Food",140.8,2,1.441
"328","2014","Prince Edward Island","Shelter",135.2,2.2,1.654
"329","2014","Quebec","All-items",123.4,1.7,1.397
"330","2014","Quebec","Food",136.8,3,2.242
"331","2014","Quebec","Shelter",128.1,1.8,1.425
"332","2014","Québec, Quebec","All-items",123.5,1.6,1.313
"333","2014","Québec, Quebec","Shelter",128.6,1.8,1.42
"334","2014","Regina, Saskatchewan","All-items",129.7,3,2.368
"335","2014","Regina, Saskatchewan","Shelter",156.5,4.6,3.028
"336","2014","Saint John, New Brunswick","All-items",124.7,1.8,1.465
"337","2014","Saint John, New Brunswick","Shelter",131.4,2.1,1.624
"338","2014","Saskatchewan","All-items",128.7,3,2.387
"339","2014","Saskatchewan","Food",138.1,4.1,3.06
"340","2014","Saskatchewan","Shelter",154.4,5,3.347
"341","2014","Saskatoon, Saskatchewan","All-items",128.6,2.9,2.307
"342","2014","Saskatoon, Saskatchewan","Shelter",152.2,4.4,2.977
"343","2014","St. John's, Newfoundland and Labrador","All-items",128.2,2.4,1.908
"344","2014","St. John's, Newfoundland and Labrador","Shelter",146.9,2.5,1.731
"345","2014","Thunder Bay, Ontario","All-items",121,2.6,2.196
"346","2014","Thunder Bay, Ontario","Shelter",113.8,3.5,3.173
"347","2014","Toronto, Ontario","All-items",126.4,3.1,2.514
"348","2014","Toronto, Ontario","Shelter",131.7,5,3.946
"349","2014","Vancouver, British Columbia","All-items",120.5,1.3,1.091
"350","2014","Vancouver, British Columbia","Shelter",117.7,0.8,0.684
"351","2014","Victoria, British Columbia","All-items",117.3,1,0.86
"352","2014","Victoria, British Columbia","Shelter",110.5,0.6,0.546
"353","2014","Whitehorse, Yukon","All-items",124.4,1.6,1.303
"354","2014","Whitehorse, Yukon","Food",129.4,4,3.19
"355","2014","Whitehorse, Yukon","Shelter",147.2,3.7,2.578
"356","2014","Winnipeg, Manitoba","All-items",124.9,2.3,1.876
"357","2014","Winnipeg, Manitoba","Shelter",134,3.9,2.998
"358","2014","Yellowknife, Northwest Territories","All-items",128.4,2.2,1.743
"359","2014","Yellowknife, Northwest Territories","Food",131.6,3.5,2.732
"360","2014","Yellowknife, Northwest Territories","Shelter",150.8,4,2.725
"361","2015","Alberta","All-items",133.7,1.5,1.135
"362","2015","Alberta","Food",139.6,5,3.715
"363","2015","Alberta","Shelter",162.9,0.4,0.246
"364","2015","British Columbia","All-items",120.2,1.3,1.093
"365","2015","British Columbia","Food",134.5,5,3.861
"366","2015","British Columbia","Shelter",114.1,-0.1,-0.088
"367","2015","Calgary, Alberta","All-items",134.3,1.6,1.206
"368","2015","Calgary, Alberta","Shelter",163.5,0.8,0.492
"369","2015","Canada","All-items",126.6,1.4,1.118
"370","2015","Canada","Food",140.5,5,3.69
"371","2015","Canada","Shelter",133.7,1.5,1.135
"372","2015","Charlottetown and Summerside, Prince Edward Island","All-items",128.8,-0.5,-0.387
"373","2015","Charlottetown and Summerside, Prince Edward Island","Shelter",128.9,-2.7,-2.052
"374","2015","Edmonton, Alberta","All-items",133.4,1.6,1.214
"375","2015","Edmonton, Alberta","Shelter",161.5,1.1,0.686
"376","2015","Halifax, Nova Scotia","All-items",128.2,0.7,0.549
"377","2015","Halifax, Nova Scotia","Shelter",134.6,-0.7,-0.517
"378","2015","Iqaluit, Nunavut","All-items",120.4,2.3,1.948
"379","2015","Manitoba","All-items",126.8,1.5,1.197
"380","2015","Manitoba","Food",141.3,4.6,3.365
"381","2015","Manitoba","Shelter",137.8,2.4,1.773
"382","2015","Montréal, Quebec","All-items",124.9,1.7,1.38
"383","2015","Montréal, Quebec","Shelter",127.5,0.6,0.473
"384","2015","New Brunswick","All-items",125.4,0.6,0.481
"385","2015","New Brunswick","Food",147.9,6.8,4.819
"386","2015","New Brunswick","Shelter",129.5,0.3,0.232
"387","2015","Newfoundland and Labrador","All-items",129,0.6,0.467
"388","2015","Newfoundland and Labrador","Food",142.9,5.2,3.776
"389","2015","Newfoundland and Labrador","Shelter",150.1,0.1,0.067
"390","2015","Nova Scotia","All-items",129.3,0.5,0.388
"391","2015","Nova Scotia","Food",147.8,6.3,4.452
"392","2015","Nova Scotia","Shelter",139.7,-1.4,-0.992
"393","2015","Ontario","All-items",127.4,1.5,1.191
"394","2015","Ontario","Food",141.2,5,3.671
"395","2015","Ontario","Shelter",134.5,3,2.281
"396","2015","Ottawa-Gatineau, Ontario part, Ontario/Quebec","All-items",126.5,1.2,0.958
"397","2015","Ottawa-Gatineau, Ontario part, Ontario/Quebec","Shelter",133.8,1.6,1.21
